,SNB:507.25,Maj.Res:1.25
Echelon,1,2,3,4,5,6,7,8,9,10,11,12
260,659.8,4183.54,4434.56,4476.39,4560.06,4685.57,4811.08,4936.58,5103.92,5271.27,5438.61,5501.36,5564.11
265,676.2,4287.53,4544.78,4587.66,4673.41,4802.03,4930.66,5059.29,5230.79,5402.29,5573.79,5638.10,5702.42
270,692.9,4393.42,4657.02,4700.96,4788.83,4920.63,5052.43,5184.23,5359.97,5535.71,5711.44,5777.35,5843.25
275,709.9,4501.21,4771.28,4816.29,4906.32,5041.35,5176.39,5311.43,5491.48,5671.52,5851.57,5919.09,5986.61
280,727.5,4612.80,4889.57,4935.70,5027.96,5166.34,5304.73,5443.11,5627.62,5812.13,5996.65,6065.84,6135.03
285,744.0,4717.43,5000.47,5047.64,5141.99,5283.52,5425.04,5566.56,5755.26,5943.96,6132.65,6203.41,6274.18
290,760.7,4823.31,5112.71,5160.95,5257.41,5402.11,5546.81,5691.51,5884.44,6077.37,6270.31,6342.66,6415.01
295,777.6,4930.47,5226.30,5275.60,5374.21,5522.13,5670.04,5817.95,6015.17,6212.39,6409.61,6483.57,6557.53
300,794.9,5040.16,5342.57,5392.97,5493.78,5644.98,5796.19,5947.39,6149.00,6350.61,6552.21,6627.81,6703.42
305,812.6,5152.39,5461.54,5513.06,5616.11,5770.68,5925.25,6079.82,6285.92,6492.01,6698.11,6775.40,6852.68
310,830.7,5267.16,5583.19,5635.86,5741.20,5899.22,6057.23,6215.25,6425.93,6636.62,6847.30,6926.31,7005.32
315,849.3,5385.09,5708.20,5762.05,5869.75,6031.30,6192.86,6354.41,6569.81,6785.22,7000.62,7081.40,7162.17
320,868.5,5506.83,5837.24,5892.31,6002.45,6167.65,6332.86,6498.06,6718.34,6938.61,7158.88,7241.49,7324.09
325,887.4,5626.67,5964.27,6020.54,6133.07,6301.87,6470.67,6639.47,6864.54,7089.60,7314.67,7399.07,7483.47
330,906.7,5749.04,6093.99,6151.48,6266.46,6438.93,6611.40,6783.87,7013.83,7243.80,7473.76,7559.99,7646.23
340,929.0,5890.44,6243.87,6302.77,6420.58,6597.29,6774.01,6950.72,7186.34,7421.96,7657.57,7745.93,7834.29
350,949.6,6021.06,6382.32,6442.53,6562.95,6743.58,6924.22,7104.85,7345.69,7586.53,7827.37,7917.69,8008.01
355,971.4,6159.28,6528.84,6590.43,6713.62,6898.40,7083.18,7267.95,7514.33,7760.70,8007.07,8099.46,8191.85
360,993.8,6301.31,6679.39,6742.41,6868.43,7057.47,7246.51,7435.55,7687.60,7939.65,8191.71,8286.23,8380.75
365,1016.7,6446.51,6833.30,6897.77,7026.70,7220.10,7413.49,7606.89,7864.75,8122.61,8380.47,8477.17,8573.86
370,1040.0,6594.25,6989.91,7055.85,7187.73,7385.56,7583.39,7781.22,8044.99,8308.76,8572.53,8671.44,8770.35
CA,842.9,5344.51,5665.18,5718.63,5825.52,5985.85,6146.19,6306.53,6520.31,6734.09,6947.87,7028.03,7108.20
CB,862.1,5466.25,5794.23,5848.89,5958.22,6122.20,6286.19,6450.18,6668.83,6887.48,7106.13,7188.12,7270.12
DA,881.8,5591.16,5926.63,5982.54,6094.37,6262.10,6429.84,6597.57,6821.22,7044.87,7268.51,7352.38,7436.25
DB,901.4,5715.44,6058.37,6115.52,6229.83,6401.29,6572.76,6744.22,6972.84,7201.45,7430.07,7515.80,7601.53
EA,921.6,5843.52,6194.13,6252.57,6369.44,6544.74,6720.05,6895.35,7129.09,7362.84,7596.58,7684.23,7771.88
FA,951.5,6033.10,6395.09,6455.42,6576.08,6757.08,6938.07,7119.06,7360.39,7601.71,7843.04,7933.53,8024.03
GA,980.5,6216.98,6590.00,6652.17,6776.51,6963.02,7149.53,7336.04,7584.72,7833.40,8082.08,8175.33,8268.59
HA,1010.6,6407.84,6792.31,6856.38,6984.54,7176.78,7369.01,7561.25,7817.56,8073.87,8330.19,8426.30,8522.42
HB,1033.8,6554.94,6948.23,7013.78,7144.88,7341.53,7538.18,7734.83,7997.02,8259.22,8521.42,8619.74,8718.07
IA,1057.6,6705.85,7108.20,7175.25,7309.37,7510.55,7711.72,7912.90,8181.13,8449.36,8717.60,8818.19,8918.77
IB,1081.9,6859.92,7271.52,7340.12,7477.32,7683.11,7888.91,8094.71,8369.11,8643.50,8917.90,9020.80,9123.70
JA,1106.9,7018.44,7439.54,7509.73,7650.10,7860.65,8071.20,8281.76,8562.49,8843.23,9123.97,9229.25,9334.52
JB,1132.3,7179.49,7610.26,7682.05,7825.64,8041.03,8256.41,8471.80,8758.98,9046.16,9333.34,9441.03,9548.72
KA,1158.4,7344.98,7785.68,7859.13,8006.03,8226.38,8446.73,8667.08,8960.88,9254.67,9548.47,9658.65,9768.82
KB,1185.0,7513.64,7964.46,8039.60,8189.87,8415.28,8640.69,8866.10,9166.64,9467.19,9767.73,9880.44,9993.14
